geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
16000US1747787,"Mazon, IL",1282,272,1229,261,1215,259,0,12,0,12,4,6,0,12,0,12,10,8,4,5,6,6,53,41,53,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748021,"Mechanicsburg, IL",828,240,818,238,754,179,2,4,0,12,0,12,0,12,0,12,62,83,52,83,10,14,10,13,6,12,0,12,0,12,0,12,0,12,0,12,4,8,4,8,0,12
16000US1748073,"Media, IL",104,39,104,39,101,39,0,12,0,12,0,12,0,12,0,12,3,4,0,12,3,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748138,"Medora, IL",277,94,249,86,246,86,0,12,0,12,0,12,0,12,0,12,3,5,1,3,2,4,28,43,28,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748242,"Melrose Park, IL",25417,629,5603,637,4392,586,1040,445,6,9,89,56,0,22,0,22,76,88,11,20,65,87,19814,829,6800,1079,31,49,159,118,14,22,0,22,8672,1156,4138,1341,3964,1305,174,170
16000US1748268,"Melvin, IL",435,115,431,115,397,106,0,12,0,12,0,12,0,12,30,45,4,4,2,3,2,4,4,5,3,4,0,12,0,12,0,12,0,12,1,3,0,12,0,12,0,12
16000US1748307,"Mendon, IL",1119,273,1117,273,1105,272,0,12,0,12,0,12,0,12,0,12,12,14,0,12,12,14,2,5,0,12,0,12,0,12,0,12,0,12,2,5,0,12,0,12,0,12
16000US1748333,"Mendota, IL",6996,282,5143,327,4967,339,28,29,0,17,103,95,0,17,0,17,45,33,0,17,45,33,1853,256,824,313,0,17,10,18,0,17,0,17,904,282,115,103,108,103,7,12
16000US1748359,"Menominee, IL",260,105,235,103,226,103,5,6,0,12,1,2,0,12,0,12,3,6,0,12,3,6,25,22,0,12,0,12,0,12,0,12,0,12,20,17,5,9,5,9,0,12
16000US1748424,"Meredosia, IL",863,194,863,194,829,193,0,12,0,12,0,12,0,12,0,12,34,38,0,12,34,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748554,"Merrionette Park, IL",1768,346,1436,311,1253,303,167,91,0,12,0,12,0,12,0,12,16,24,0,12,16,24,332,152,157,109,0,12,11,21,0,12,0,12,132,101,32,27,19,19,13,25
16000US1748567,"Merritt, IL",20,24,20,24,20,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748606,"Metamora, IL",4032,173,3991,188,3841,195,24,26,0,12,56,61,0,12,0,12,70,50,0,12,70,50,41,65,41,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748632,"Metcalf, IL",225,82,225,82,225,82,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748645,"Metropolis, IL",6032,18,5729,121,5240,160,255,105,0,17,26,40,0,17,0,17,208,92,8,14,200,94,303,114,153,172,0,17,0,17,0,17,0,17,3,6,147,147,147,147,0,17
16000US1748671,"Mettawa, IL",647,144,602,143,559,136,17,27,0,12,20,16,0,12,0,12,6,9,4,8,2,4,45,30,23,23,0,12,0,12,2,3,0,12,2,3,18,18,18,18,0,12
16000US1748684,"Meyer, IL",23,28,23,28,23,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748853,"Middletown, IL",232,59,232,59,224,55,0,12,0,12,0,12,0,12,0,12,8,12,2,3,6,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1748892,"Midlothian, IL",14330,50,9530,719,7137,788,1169,370,0,19,302,240,0,19,165,253,757,454,236,309,521,290,4800,719,2410,637,16,26,0,19,0,19,0,19,1551,602,823,695,823,695,0,19
16000US1749009,"Milan, IL",5096,22,4758,167,4393,207,129,96,0,17,122,105,0,17,0,17,114,100,32,40,82,94,338,165,101,62,7,11,25,41,0,17,0,17,91,93,114,87,73,78,41,45
16000US1749048,"Milford, IL",1297,161,1246,161,1220,159,6,13,0,12,0,12,0,12,0,12,20,21,5,8,15,19,51,40,14,17,0,12,0,12,0,12,0,12,37,33,0,12,0,12,0,12
16000US1749100,"Millbrook, IL",401,117,394,116,391,115,0,12,0,12,0,12,0,12,0,12,3,5,0,12,3,5,7,13,7,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1749178,"Mill Creek, IL",31,22,26,21,26,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,9,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
