STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
IL|17|49516|02399370|Mineral village|INCORPORATED PLACE|C1|A|Bureau County
IL|17|49555|02399375|Minier village|INCORPORATED PLACE|C1|A|Tazewell County
IL|17|49568|02395353|Minonk city|INCORPORATED PLACE|C1|A|Woodford County
IL|17|49607|02399376|Minooka village|INCORPORATED PLACE|C1|A|Grundy County~~~Kendall County~~~Will County
IL|17|49698|02629853|Mitchell CDP|CENSUS DESIGNATED PLACE|U1|S|Madison County
IL|17|49802|02399379|Modesto village|INCORPORATED PLACE|C1|A|Macoupin County
IL|17|49854|02399380|Mokena village|INCORPORATED PLACE|C1|A|Will County
IL|17|49867|02395365|Moline city|INCORPORATED PLACE|C1|A|Rock Island County
IL|17|49893|02395368|Momence city|INCORPORATED PLACE|C1|A|Kankakee County
IL|17|49945|02399381|Monee village|INCORPORATED PLACE|C1|A|Will County
IL|17|50010|02395371|Monmouth city|INCORPORATED PLACE|C1|A|Warren County
IL|17|50062|02399384|Monroe Center village|INCORPORATED PLACE|C1|A|Ogle County
IL|17|50218|02399387|Montgomery village|INCORPORATED PLACE|C1|A|Kane County~~~Kendall County
IL|17|50244|02395384|Monticello city|INCORPORATED PLACE|C1|A|Piatt County
IL|17|50283|02399391|Montrose village|INCORPORATED PLACE|C1|A|Cumberland County~~~Effingham County
IL|17|50452|02804653|Moro CDP|CENSUS DESIGNATED PLACE|U1|S|Madison County
IL|17|50491|02395407|Morris city|INCORPORATED PLACE|C1|A|Grundy County
IL|17|50530|02395409|Morrison city|INCORPORATED PLACE|C1|A|Whiteside County
IL|17|50543|02399398|Morrisonville village|INCORPORATED PLACE|C1|A|Christian County
IL|17|50621|02399402|Morton village|INCORPORATED PLACE|C1|A|Tazewell County
IL|17|50647|02399403|Morton Grove village|INCORPORATED PLACE|C1|A|Cook County
IL|17|50699|02804095|Mossville CDP|CENSUS DESIGNATED PLACE|U1|S|Peoria County
IL|17|50751|02395112|Mound City city|INCORPORATED PLACE|C1|A|Pulaski County
IL|17|50777|02395117|Mounds city|INCORPORATED PLACE|C1|A|Pulaski County
IL|17|50790|02399405|Mound Station village|INCORPORATED PLACE|C1|A|Brown County
IL|17|50829|02399406|Mount Auburn village|INCORPORATED PLACE|C1|A|Christian County
IL|17|50868|02395120|Mount Carmel city|INCORPORATED PLACE|C1|A|Wabash County
IL|17|50881|02395121|Mount Carroll city|INCORPORATED PLACE|C1|A|Carroll County
IL|17|50920|02399408|Mount Clare village|INCORPORATED PLACE|C1|A|Macoupin County
IL|17|50933|02399411|Mount Erie village|INCORPORATED PLACE|C1|A|Wayne County
IL|17|50998|02399413|Mount Morris village|INCORPORATED PLACE|C1|A|Ogle County
IL|17|51024|02395123|Mount Olive city|INCORPORATED PLACE|C1|A|Macoupin County
IL|17|51089|02399416|Mount Prospect village|INCORPORATED PLACE|C1|A|Cook County
IL|17|51128|02395124|Mount Pulaski city|INCORPORATED PLACE|C1|A|Logan County
IL|17|51154|02395125|Mount Sterling city|INCORPORATED PLACE|C1|A|Brown County
IL|17|51180|02395129|Mount Vernon city|INCORPORATED PLACE|C1|A|Jefferson County
IL|17|51206|02399419|Mount Zion village|INCORPORATED PLACE|C1|A|Macon County
IL|17|51232|02399420|Moweaqua village|INCORPORATED PLACE|C1|A|Christian County~~~Shelby County
IL|17|51271|02399422|Muddy village|INCORPORATED PLACE|C1|A|Saline County
IL|17|51284|02399424|Mulberry Grove village|INCORPORATED PLACE|C1|A|Bond County
IL|17|51310|02628555|Mulkeytown CDP|CENSUS DESIGNATED PLACE|U1|S|Franklin County
IL|17|51336|02399427|Muncie village|INCORPORATED PLACE|C1|A|Vermilion County
IL|17|51349|02399428|Mundelein village|INCORPORATED PLACE|C1|A|Lake County
IL|17|51453|02395141|Murphysboro city|INCORPORATED PLACE|C1|A|Jackson County
IL|17|51479|02399432|Murrayville village|INCORPORATED PLACE|C1|A|Morgan County
IL|17|51544|02806532|Nachusa CDP|CENSUS DESIGNATED PLACE|U1|S|Lee County
IL|17|51622|02395147|Naperville city|INCORPORATED PLACE|C1|A|DuPage County~~~Will County
IL|17|51648|02399435|Naplate village|INCORPORATED PLACE|C1|A|LaSalle County
IL|17|51661|02396795|Naples town|INCORPORATED PLACE|C1|A|Scott County
IL|17|51700|02395154|Nashville city|INCORPORATED PLACE|C1|A|Washington County
IL|17|51726|02395157|Nason city|INCORPORATED PLACE|C1|A|Jefferson County
IL|17|51791|02395160|Nauvoo city|INCORPORATED PLACE|C1|A|Hancock County
IL|17|51882|02399440|Nebo village|INCORPORATED PLACE|C1|A|Pike County
IL|17|51934|02806533|Nekoma CDP|CENSUS DESIGNATED PLACE|U1|S|Henry County
IL|17|51947|02399443|Nelson village|INCORPORATED PLACE|C1|A|Lee County
IL|17|51986|02395170|Neoga city|INCORPORATED PLACE|C1|A|Cumberland County
IL|17|51999|02399446|Neponset village|INCORPORATED PLACE|C1|A|Bureau County
IL|17|52103|02399488|Newark village|INCORPORATED PLACE|C1|A|Kendall County
IL|17|52116|02399452|New Athens village|INCORPORATED PLACE|C1|A|St. Clair County
IL|17|52142|02399453|New Baden village|INCORPORATED PLACE|C1|A|Clinton County~~~St. Clair County
IL|17|52155|02399455|New Bedford village|INCORPORATED PLACE|C1|A|Bureau County
IL|17|52168|02399456|New Berlin village|INCORPORATED PLACE|C1|A|Sangamon County
IL|17|52220|02395186|New Boston city|INCORPORATED PLACE|C1|A|Mercer County
IL|17|52285|02399459|New Burnside village|INCORPORATED PLACE|C1|A|Johnson County
IL|17|52311|02396799|New Canton town|INCORPORATED PLACE|C1|A|Pike County
IL|17|52415|02399461|New Douglas village|INCORPORATED PLACE|C1|A|Madison County
